customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
5365,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,29.85,29.85
3953,1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,56.95,1889.5
2558,1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,108.15
5524,1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,42.3,1840.75
6500,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,151.65
6540,0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,820.5
1001,1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,89.1,1949.4
4760,0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,29.75,301.9
5593,0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,3046.05
4524,1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,56.15,3487.95
6860,1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,49.95,587.45
5278,1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,18.95,326.8
5740,1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,100.35,5681.1
174,1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,5036.3
3606,1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,105.5,2686.05
2550,0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,113.25,7895.15
5809,0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,20.65,1022.95
7008,1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,106.7,7382.25
2930,0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,528.35
2921,0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,90.05,1862.9
6196,1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,39.65
1140,1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,202.25
723,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,20.15
2535,0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,59.9,3505.1
4469,1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,59.6,2970.3
4863,0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,55.3,1530.6
4574,1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,4749.15
6108,1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,30.2
3724,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,90.25,6369.45
6188,0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,1093.1
2694,0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,96.35,6766.95
3472,1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,95.5,181.65
4834,0,0,1,1,27,1,0,0,2,2,2,2,0,0,1,0,3,66.15,1874.45
5184,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.2,20.2
2378,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45.25,45.25
4413,0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,99.9,7251.7
4282,1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,316.9
4646,0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,74.8,3548.3
3819,1,0,0,0,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,3549.25
5792,0,0,0,0,11,1,2,1,0,0,2,0,2,2,0,1,0,97.85,1105.4
6252,1,0,1,1,10,1,0,0,0,2,0,0,0,0,1,0,3,49.55,475.7
6660,0,0,1,1,70,1,2,0,2,2,0,0,2,0,2,1,1,69.2,4872.35
6945,0,0,1,1,17,1,0,2,1,1,1,1,1,1,1,0,3,20.75,418.25
3259,0,0,0,0,63,1,2,0,2,2,2,2,2,0,2,1,1,79.85,4861.45
2855,0,0,1,0,13,1,2,0,2,2,0,2,2,0,0,1,2,76.2,981.45
2593,0,0,0,0,49,1,2,1,0,0,0,0,0,2,0,1,2,84.5,3906.7
4202,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,49.25,97.0
5499,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,80.65,144.15
5417,1,0,0,0,52,1,2,0,2,0,0,2,2,2,2,1,1,79.75,4217.8
2043,0,0,1,1,69,1,2,0,2,0,2,2,0,0,2,1,1,64.15,4254.1
5675,0,1,0,0,43,1,2,1,0,2,0,0,2,0,0,1,2,90.25,3838.75
6619,0,0,0,0,15,1,0,1,2,2,0,0,2,2,0,1,1,99.1,1426.4
4648,0,1,1,0,25,1,2,0,2,0,0,2,2,0,0,1,1,69.5,1752.65
5295,0,1,1,0,8,1,2,1,0,2,0,0,0,0,0,1,1,80.65,633.3
3256,0,1,1,1,60,1,0,0,2,2,2,2,0,2,1,1,1,74.85,4456.35
1128,1,1,0,0,18,1,2,1,0,0,0,0,2,2,0,1,2,95.45,1752.55
6187,0,0,1,1,63,1,2,1,2,0,0,0,2,2,1,1,1,99.65,6311.2
3569,1,1,1,1,66,1,2,1,0,2,2,2,2,2,1,1,2,108.45,7076.35
2777,0,0,1,1,34,1,2,2,1,1,1,1,1,1,2,0,1,24.95,894.3
4208,0,0,0,0,72,1,2,1,0,0,2,2,2,2,2,1,1,107.5,7853.7
295,0,0,1,0,47,1,2,1,0,0,2,0,2,2,0,1,2,100.5,4707.1
832,1,0,0,0,60,1,2,1,0,2,0,0,2,0,0,1,0,89.9,5450.7
358,1,0,1,0,72,0,1,0,2,2,2,0,0,0,2,0,0,42.1,2962.0
374,0,0,1,1,18,1,0,0,0,0,2,2,0,0,1,1,1,54.4,957.1
4034,0,0,0,0,9,1,2,1,0,0,0,0,2,2,0,0,2,94.4,857.25
3600,0,0,0,0,3,1,0,0,0,2,0,2,2,2,0,1,2,75.3,244.1
6079,1,0,1,0,47,1,2,1,0,2,0,0,0,0,1,1,2,78.9,3650.35
2376,0,0,0,0,31,1,0,0,0,2,2,2,2,2,2,0,3,79.2,2497.2
2210,0,0,1,1,50,1,0,2,1,1,1,1,1,1,2,0,0,20.15,930.9
5252,1,0,0,0,10,1,0,1,2,0,2,0,0,0,0,1,3,79.85,887.35
1561,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,49.05,49.05
501,0,0,1,1,52,1,0,2,1,1,1,1,1,1,1,1,2,20.4,1090.65
1271,1,1,1,1,64,1,2,1,2,0,2,2,2,2,2,1,0,111.6,7099.0
5686,1,0,1,1,62,1,2,2,1,1,1,1,1,1,2,1,0,24.25,1424.6
3985,0,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,0,64.5,177.4
1834,0,1,0,0,56,1,2,1,2,2,2,0,2,2,1,0,2,110.5,6139.5
4540,0,0,0,0,46,1,0,0,0,0,0,0,0,2,1,0,1,55.65,2688.85
3961,0,0,1,1,8,1,0,0,2,2,0,0,0,0,0,0,3,54.65,482.25
108,1,1,0,0,30,1,0,0,2,2,0,0,2,2,0,1,2,74.75,2111.3
2725,0,0,1,1,45,1,2,2,1,1,1,1,1,1,1,1,1,25.9,1216.6
4181,0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,1,2,79.35,79.35
5755,0,0,1,1,11,0,1,0,2,0,0,0,2,2,0,0,2,50.55,565.35
6477,0,0,1,0,7,1,0,1,0,0,2,0,0,0,0,1,0,75.15,496.9
6978,0,0,0,0,42,1,0,1,0,2,2,2,2,2,0,1,0,103.8,4327.5
202,0,0,1,0,49,1,0,2,1,1,1,1,1,1,2,1,0,20.15,973.35
3092,1,0,0,0,9,1,2,1,0,2,0,0,2,2,0,1,1,99.3,918.75
3367,0,0,1,0,35,1,0,0,2,0,0,0,2,0,1,1,0,62.15,2215.45
1257,0,0,1,1,48,1,0,2,1,1,1,1,1,1,2,0,0,20.65,1057.0
1917,0,0,1,1,46,1,0,2,1,1,1,1,1,1,2,1,3,19.95,927.1
2099,1,0,1,0,29,0,1,0,0,0,0,0,2,0,0,0,3,33.75,1009.25
3336,1,0,1,1,30,1,0,1,0,2,2,0,0,0,0,0,0,82.05,2570.2
1662,1,1,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,74.7,74.7
5127,1,0,1,1,66,1,2,0,2,0,2,2,2,2,2,1,3,84.0,5714.25
4295,0,0,0,0,65,1,2,1,2,2,2,0,2,2,0,1,1,111.05,7107.0
6934,1,0,0,0,72,1,2,1,0,2,2,0,2,2,2,1,0,100.9,7459.05
6088,0,0,0,0,12,1,2,1,2,0,0,0,0,0,0,1,2,78.95,927.35
6897,1,0,1,1,71,1,2,0,2,2,0,2,0,0,1,1,1,66.85,4748.7
173,1,0,0,0,5,1,0,2,1,1,1,1,1,1,0,0,3,21.05,113.85
2244,1,0,0,0,52,1,0,2,1,1,1,1,1,1,2,0,0,21.0,1107.2
3199,0,1,1,0,25,1,0,1,0,2,2,0,2,2,0,1,2,98.5,2514.5
4520,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.2,20.2
2569,0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,19.45,19.45
5054,1,0,0,0,38,1,2,1,0,0,2,2,2,0,1,0,0,95.0,3605.6
3826,0,1,1,0,66,0,1,0,0,2,2,0,2,0,1,0,0,45.55,3027.25
2228,1,0,1,0,68,1,2,1,0,2,2,2,2,2,2,1,0,110.0,7611.85
4376,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,3,24.3,100.2
4772,0,0,1,1,72,1,2,1,2,2,0,0,2,2,1,1,2,104.15,7303.05
6852,0,0,0,0,32,0,1,0,2,0,0,0,0,0,1,0,3,30.15,927.65
6056,1,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,94.35,3921.3
1965,1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,0,1,19.4,1363.25
327,1,0,1,0,55,1,2,1,2,2,0,0,2,0,0,1,2,96.75,5238.9
3164,0,0,0,0,52,1,0,0,2,0,2,2,0,0,1,0,1,57.95,3042.25
4045,0,0,0,0,43,1,0,1,0,2,2,0,2,0,0,1,2,91.65,3954.1
3410,0,1,1,0,37,1,2,1,0,0,0,0,0,0,0,1,2,76.5,2868.15
3726,0,0,1,1,64,0,1,0,0,2,0,2,2,2,2,1,2,54.6,3423.5
2138,1,0,1,1,3,1,0,1,2,2,0,0,2,0,0,0,2,89.85,248.4
6721,0,0,0,0,36,0,1,0,2,0,0,0,0,0,2,0,0,31.05,1126.35
3754,0,0,1,1,10,1,2,1,2,0,0,0,2,2,0,1,2,100.25,1064.65
5950,0,0,0,0,41,1,0,2,1,1,1,1,1,1,2,0,3,20.65,835.15
6633,1,0,1,1,27,1,2,1,0,2,0,2,0,0,0,1,1,85.2,2151.6
745,0,0,1,1,56,1,2,1,0,0,2,0,2,2,1,1,1,99.8,5515.45
2028,0,0,0,0,6,1,0,2,1,1,1,1,1,1,0,0,3,20.7,112.75
274,1,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,74.4,229.55
4597,0,0,1,1,7,1,0,0,2,0,0,0,0,0,0,0,3,50.7,350.35
5120,0,0,1,1,4,1,0,2,1,1,1,1,1,1,0,0,3,20.85,62.9
3213,1,0,0,0,33,1,0,1,2,0,0,2,2,0,2,1,2,88.95,3027.65
3071,0,1,0,0,27,1,2,1,0,0,2,0,0,0,0,1,2,78.05,2135.5
4784,1,0,1,0,72,1,2,2,1,1,1,1,1,1,2,1,0,23.55,1723.95
2754,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.75,19.75
1806,1,1,0,0,71,0,1,0,2,2,0,0,2,2,1,1,2,56.45,3985.35
1986,0,0,0,0,13,1,2,1,0,0,0,0,0,2,0,1,2,85.95,1215.65
4393,0,0,1,1,25,0,1,0,2,2,2,0,2,2,0,1,1,58.6,1502.65
6047,1,0,0,0,67,1,0,0,0,0,0,2,0,0,2,0,0,50.55,3260.1
2154,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.45,35.45
1631,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.35,81.25
5528,0,0,0,0,43,1,2,2,1,1,1,1,1,1,2,1,1,25.7,1188.2
5559,0,0,0,0,23,1,0,1,2,0,0,0,0,0,0,1,0,75.0,1778.5
2650,0,0,1,1,64,1,0,2,1,1,1,1,1,1,2,0,3,20.2,1277.75
4400,1,0,0,1,57,1,0,2,1,1,1,1,1,1,2,1,3,19.6,1170.55
262,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,70.45
2192,0,1,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,88.05,6425.65
2856,0,0,0,0,8,1,2,0,2,0,0,2,0,2,0,0,2,71.15,563.65
751,0,0,1,0,61,1,2,1,0,2,0,0,2,2,2,1,0,101.05,5971.25
1804,1,0,0,0,64,1,2,1,2,2,0,0,0,0,1,1,1,84.3,5289.05
775,1,1,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,23.95,1756.2
4048,0,0,1,1,65,1,2,1,2,2,0,2,2,0,2,1,1,99.05,6416.7
4838,1,0,0,0,3,1,0,2,1,1,1,1,1,1,1,0,3,19.6,61.35
1445,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.65,45.65
4561,1,0,0,1,30,1,0,0,0,2,2,0,2,0,1,0,1,64.5,1929.95
2414,1,0,1,1,15,1,0,0,0,2,2,2,0,2,0,1,3,69.5,1071.4
2656,0,0,1,1,8,1,0,0,0,0,0,2,2,2,0,1,2,68.55,564.35
2718,1,0,0,0,7,1,2,1,0,0,0,0,2,2,0,0,3,95.0,655.5
1139,0,0,1,1,70,1,2,1,2,2,2,0,2,2,1,1,1,108.15,7930.55
6397,1,0,1,1,62,1,0,0,2,2,2,2,2,2,2,0,2,86.1,5215.25
2140,0,0,1,1,6,1,0,2,1,1,1,1,1,1,0,0,3,19.7,113.5
4633,0,0,1,1,14,1,0,1,0,0,0,0,0,2,0,1,0,80.9,1152.8
6461,0,0,0,0,22,1,2,1,0,0,0,0,2,0,0,1,0,84.15,1821.95
1891,1,0,1,1,22,1,0,2,1,1,1,1,1,1,1,0,3,20.15,419.9
4512,1,0,1,1,16,1,0,0,2,0,2,0,2,0,2,0,3,64.25,1024.0
5339,1,0,0,0,10,1,2,2,1,1,1,1,1,1,2,0,0,25.7,251.6
6342,0,0,0,1,13,1,0,0,2,2,0,0,0,0,0,1,2,56.0,764.55
589,0,0,1,0,20,1,2,1,2,0,0,0,0,0,0,0,2,82.4,1592.35
3115,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,69.7,135.2
3241,1,0,0,0,53,1,2,0,0,2,2,2,0,2,2,1,0,73.9,3958.25
2012,0,0,1,1,11,1,0,2,1,1,1,1,1,1,1,0,3,20.6,233.9
4488,1,0,1,0,69,1,0,2,1,1,1,1,1,1,2,0,3,19.9,1363.45
2353,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9,273.0
4249,1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,0,89.05,6254.45
2400,1,1,1,0,58,0,1,0,0,2,2,0,0,2,0,1,2,45.3,2651.2
794,0,0,1,1,16,1,0,2,1,1,1,1,1,1,0,0,2,20.4,321.4
5426,1,0,1,0,43,1,0,1,2,0,2,2,0,0,1,1,0,84.25,3539.25
1268,0,0,1,0,2,1,2,1,0,0,2,2,2,2,0,1,2,104.4,242.8
4770,1,0,1,0,14,1,0,0,0,2,2,2,2,2,2,0,3,81.95,1181.75
475,0,0,1,0,53,1,0,1,0,0,2,0,2,2,1,1,0,94.85,5000.2
4180,0,0,0,0,32,1,0,2,1,1,1,1,1,1,1,0,0,20.55,654.55
1184,0,0,1,0,34,1,2,2,1,1,1,1,1,1,0,0,2,24.7,780.2
1816,0,1,0,0,15,1,2,1,0,0,0,0,0,0,0,1,3,74.45,1145.7
1397,0,1,0,0,7,1,0,1,2,0,0,0,0,0,0,0,0,76.45,503.6
4201,0,0,1,1,15,1,2,1,0,2,2,0,2,2,0,1,0,105.35,1559.25
2591,1,0,1,0,61,1,0,2,1,1,1,1,1,1,1,1,1,20.55,1252.0
4466,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,29.95,29.95
4653,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,45.3,45.3
6581,1,0,0,0,8,1,2,1,0,0,0,0,0,2,0,0,0,84.5,662.65
3917,1,0,1,1,33,1,0,0,2,0,2,0,2,2,1,0,1,74.75,2453.3
1287,0,0,0,0,13,1,0,1,0,2,2,0,0,0,0,1,2,79.25,1111.65
692,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.8,24.8
3396,1,0,0,0,20,1,0,0,0,2,0,0,0,0,0,1,3,51.8,1023.85
5791,1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,2,30.4,82.15
653,0,0,0,0,13,1,0,2,1,1,1,1,1,1,1,0,2,19.65,244.8
5680,0,0,1,0,40,1,2,0,0,2,0,0,0,0,0,0,1,56.6,2379.1
5037,1,0,1,1,43,1,2,0,2,0,0,2,0,2,1,1,1,71.9,3173.35
1694,1,0,1,0,6,1,0,1,0,2,2,0,0,2,0,1,2,91.0,531.0
2072,0,0,1,1,69,1,0,2,1,1,1,1,1,1,2,0,0,19.75,1375.4
6805,0,0,1,1,72,1,2,1,2,2,2,0,2,2,2,0,1,109.7,8129.3
1453,1,0,1,1,59,1,0,2,1,1,1,1,1,1,2,0,1,19.3,1192.7
1778,0,0,1,0,20,1,0,1,2,2,0,2,2,0,0,1,2,96.55,1901.65
6472,1,0,1,1,24,1,2,2,1,1,1,1,1,1,2,1,0,24.1,587.4
4363,1,0,0,0,59,1,2,1,0,2,2,2,2,2,0,1,2,111.35,6519.75
5152,1,0,1,1,72,1,2,1,0,2,2,2,2,2,2,1,0,112.25,8041.65
2543,1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,20.75,20.75
6550,0,0,1,0,27,1,0,1,2,0,0,2,2,2,1,1,1,101.9,2681.15
6021,0,0,0,0,14,1,0,1,0,2,0,2,0,0,0,1,1,80.05,1112.3
2341,1,0,1,1,71,1,2,1,2,0,2,0,2,2,2,0,2,105.55,7405.5
4984,1,0,0,1,13,1,0,1,0,0,0,0,2,0,0,1,1,78.3,1033.95
6450,1,0,0,0,44,1,0,1,0,0,0,0,0,0,0,0,1,68.85,2958.95
5445,0,0,0,0,33,1,0,1,0,2,0,2,0,0,1,1,0,79.95,2684.85
4492,1,0,1,1,72,0,1,0,2,2,2,2,0,2,2,1,1,55.45,4179.2
884,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,2,79.9,79.9
5547,0,0,0,0,19,1,0,1,2,0,2,2,2,2,0,1,2,106.6,1934.45
