SeniorCitizen,tenure,MonthlyCharges,Partner_Yes,Dependents_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,65,94.55,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False
0,26,35.75,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
0,68,90.2,True,False,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False
0,3,84.3,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
0,49,40.65,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
1,64,97.0,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False
0,7,64.3,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
0,22,93.2,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True
0,31,54.35,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
0,6,47.95,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
0,1,19.2,False,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,True,False,False,True
0,6,79.05,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
0,12,79.8,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
0,61,106.35,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False
0,43,19.65,False,False,False,False,False,True,True,False,True,False,True,False,True,False,False,True,True,False,False,False
1,30,40.3,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
0,22,55.15,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,True,False,False
